Fecha,Pronostico_Consolidado,IC_Inferior_Modelos,IC_Superior_Modelos
2026-01-01,337672147680.9953,283336670000.0,490598170256.2463
2026-02-01,280614319355.8021,255468656507.31213,290787000000.0
2026-03-01,279494315116.00006,259041560000.0,363103310826.4233
2026-04-01,189457278846.31345,184827967661.85596,221633820000.0
2026-05-01,191979070405.00452,183621420000.0,266897650000.0
2026-06-01,235693490054.4211,227272363895.67297,427135400000.0
2026-07-01,338935990131.7914,269970110000.0,437798107034.4084
2026-08-01,284297051844.8695,280004170000.0,293884467753.93536
2026-09-01,269579497138.417,267695010000.0,286282020000.0
2026-10-01,274418351221.49677,266478702353.8398,326108230808.7798
2026-11-01,272191536056.56384,264253000000.0,300567430000.0
2026-12-01,239040380917.38815,226413310000.0,373087440000.0
