Fecha,P10,P25,P50_Mediana,P75,P90
2026-01-01,2.3235576e+11,2.8555834e+11,3.083467e+11,3.3490515e+11,3.46585e+11
2026-02-01,2.2709017e+11,2.7587245e+11,2.9815557e+11,2.931521e+11,2.9121882e+11
2026-03-01,2.3235576e+11,2.8568476e+11,2.7414412e+11,2.743748e+11,2.7504863e+11
2026-04-01,2.0299971e+11,2.0023634e+11,1.9725232e+11,2.1998833e+11,2.5688356e+11
2026-05-01,1.9400799e+11,1.9646082e+11,1.9765002e+11,2.1105531e+11,2.5459828e+11
2026-06-01,2.2509013e+11,2.4589826e+11,2.244616e+11,2.3816782e+11,2.6704074e+11
2026-07-01,2.3346237e+11,2.863798e+11,3.1323354e+11,2.993134e+11,3.366465e+11
2026-08-01,2.2678846e+11,2.6491106e+11,2.8125453e+11,2.8738608e+11,2.842661e+11
2026-09-01,2.3628915e+11,2.619871e+11,2.817109e+11,2.6918907e+11,2.7441249e+11
2026-10-01,2.3637028e+11,2.754224e+11,2.9207937e+11,2.854037e+11,2.906933e+11
2026-11-01,2.4476493e+11,2.5450992e+11,2.665395e+11,2.6253686e+11,2.809543e+11
2026-12-01,2.4210674e+11,2.5180353e+11,2.434812e+11,2.5024173e+11,2.732848e+11
