Fecha,Pronostico_Chronos-T5,Pronostico_XGBoost,Pronostico_Ensemble,IC_Inferior_Ensemble,IC_Superior_Ensemble
2026-01-01,4.1059516e+11,283336670000.0,320605316817.2816,195891992540.48163,445318641094.0816
2026-02-01,2.580346e+11,290787000000.0,281195197314.8015,249097843245.0415,313292551384.5615
2026-03-01,2.9664562e+11,259041560000.0,270054207654.21536,233202225122.37537,306906190186.05536
2026-04-01,1.8928817e+11,188046520000.0,188410145030.2021,187193328547.6421,189626961512.7621
2026-05-01,1.96822e+11,183621420000.0,187487313520.65698,174550737468.817,200423889572.49698
2026-06-01,2.2413215e+11,228572860000.0,227272363895.67297,222920471372.79297,231624256418.55298
2026-07-01,4.1530393e+11,297150700000.0,331752799854.24805,215962638609.44806,447542961099.04803
2026-08-01,2.806363e+11,284362600000.0,283271320207.54156,279619539465.14154,286923100949.9416
2026-09-01,2.693355e+11,267695010000.0,268175437929.53482,266567762966.65482,269783112892.41483
2026-10-01,2.589764e+11,269585730000.0,266478702353.8398,256081558326.6398,276875846381.0398
2026-11-01,2.7875272e+11,264253000000.0,268499358145.03183,254289629659.91183,282709086630.15186
2026-12-01,2.31666e+11,226413310000.0,227951602354.24655,222803958251.52655,233099246456.96655
