Fecha,Pronóstico,Limite_Inferior,Limite_Superior
2026-01-01,2.8333667e+11,271615200920.88943,331876769435.61523
2026-02-01,2.90787e+11,278757314379.9968,340603459008.6335
2026-03-01,2.5904156e+11,233485633867.30798,281648536414.277
2026-04-01,1.8804652e+11,180267150584.16943,220261897597.85587
2026-05-01,1.8362142e+11,165506116821.50198,215078705725.70206
2026-06-01,2.2857286e+11,219116938851.89322,267731045789.22137
2026-07-01,2.971507e+11,267835088660.44583,322467297851.58136
2026-08-01,2.843626e+11,272598710212.41492,333078483792.0817
2026-09-01,2.6769501e+11,256225626118.3517,291057188262.9232
2026-10-01,2.6958573e+11,242989557392.5632,315770078547.5791
2026-11-01,2.64253e+11,253321013078.368,309523764375.3844
2026-12-01,2.2641331e+11,204076344478.04144,245703233614.41663
